# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:EB                     7:TB                     8:phiphi                 9:TPhi                  10:Ephi               
    2       1.321819155597e-10       3.960919589163e-15       3.292470572660e-13       2.287997174846e-19       8.727115350246e-19       8.412409667914e-17       7.834536411041e-09       4.464889013075e-10      -1.741684328290e-12 
    3       1.251771205010e-10       5.159034216986e-15       3.744207155854e-13       4.573695852609e-19       5.109573736317e-19       5.797150394747e-17       4.870235432931e-09       3.174710842269e-10      -1.335674347569e-12 
    4       1.185556761678e-10       4.531257001302e-15       3.534634821396e-13       7.623651389235e-19       1.661549719330e-19      -2.112945585552e-18       3.402605125413e-09       2.404961653045e-10      -8.853282639770e-13 
    5       1.136322680123e-10       3.068444815723e-15       3.033459322162e-13       1.143980087408e-18       8.325680085801e-20      -5.557022742561e-17       2.545507146932e-09       1.899623315082e-10      -5.006859725412e-13 
    6       1.102897213150e-10       1.736254044194e-15       2.458453553211e-13       1.602328847432e-18      -3.362198688376e-20      -9.628896081363e-17       1.991263237543e-09       1.545890147291e-10      -2.131366787201e-13 
    7       1.081968054467e-10       9.399099419307e-16       1.939105743634e-13       2.137429232287e-18      -2.302560446314e-19      -1.339303821734e-16       1.607753228176e-09       1.286715276040e-10      -2.638802714092e-14 
    8       1.069972777739e-10       6.010423780601e-16       1.534634594968e-13       2.749497816682e-18      -3.641370354767e-19      -1.789327803781e-16       1.329078820112e-09       1.090112705619e-10       7.180166477983e-14 
    9       1.064967734860e-10       4.814364963554e-16       1.260483734658e-13       3.438901566890e-18      -3.932307326518e-19      -2.360938904110e-16       1.119413775620e-09       9.370700171382e-11       1.022105084220e-13 
   10       1.065452850472e-10       4.137953292329e-16       1.105760787992e-13       4.205904915963e-18      -4.012475619504e-19      -3.042492521109e-16       9.576069146800e-10       8.155955653016e-11       8.869865593106e-14 
   11       1.069322060592e-10       3.507026489667e-16       1.046774466167e-13       5.050665736865e-18      -4.643406077666e-19      -3.791725395688e-16       8.082426272308e-10       7.195486933267e-11       5.400714042321e-14 
   12       1.076435272878e-10       3.060487868005e-16       1.055997623912e-13       5.973392404516e-18      -5.871527851102e-19      -4.573548425974e-16       7.066066738725e-10       6.382917155411e-11       1.562650528689e-14 
   13       1.086134389108e-10       2.927473721259e-16       1.107022289863e-13       6.974386701561e-18      -7.433487037520e-19      -5.369656111686e-16       6.231094065847e-10       5.687786994471e-11      -1.511751360620e-14 
   14       1.097423133413e-10       3.044974618580e-16       1.179421923443e-13       8.053966789681e-18      -9.279855379762e-19      -6.181426973867e-16       5.535949415042e-10       5.110513623567e-11      -3.263928722491e-14 
   15       1.110350845328e-10       3.291547515963e-16       1.260312653758e-13       9.212407871178e-18      -1.161459420189e-18      -7.027592270186e-16       4.950559659406e-10       4.620812175284e-11      -3.696832777201e-14 
   16       1.124774230960e-10       3.629445717421e-16       1.342362673202e-13       1.044995329253e-17      -1.464024369219e-18      -7.924872696781e-16       4.452598227101e-10       4.188826394491e-11      -3.165798690588e-14 
   17       1.139983198635e-10       4.109024241447e-16       1.423808649761e-13       1.176685179422e-17      -1.841435494704e-18      -8.883783219474e-16       4.025204735959e-10       3.811661815574e-11      -2.140661082582e-14 
