sim_num,gMpl,gMpl_std,aplusb_b95,aplusb_b95_std,aplusb_k95,aplusb_k95_std,aplusb_150,aplusb_150_std,aplusb_220,aplusb_220_std,aplusb_b95ext,aplusb_b95ext_std,chisq
0,0.918,0.683,-0.337,0.19,0.002,0.242,-0.25,0.2,-0.306,0.262,-0.21,0.19,88.689
1,-0.185,0.695,0.019,0.202,0.061,0.25,0.123,0.2,0.195,0.257,0.08,0.194,63.144
2,-0.324,0.682,0.057,0.2,0.192,0.249,-0.111,0.202,0.119,0.265,0.026,0.192,83.253
3,-1.542,0.682,0.488,0.2,0.423,0.249,0.475,0.201,0.234,0.26,0.52,0.19,82.172
4,2.635,0.676,-0.798,0.204,-1.277,0.259,-0.949,0.197,-0.865,0.251,-0.79,0.195,78.185
5,0.016,0.672,0.055,0.189,-0.277,0.238,-0.004,0.202,0.151,0.257,0.066,0.193,74.671
6,2.362,0.673,-0.58,0.195,-0.704,0.246,-0.565,0.198,-0.612,0.255,-0.598,0.19,68.077
7,2.303,0.655,-0.572,0.191,-0.399,0.241,-0.768,0.193,-0.613,0.263,-0.598,0.187,117.128
8,0.793,0.677,-0.148,0.194,-0.51,0.241,-0.033,0.2,0.458,0.262,-0.179,0.19,86.876
9,0.216,0.665,-0.134,0.186,-0.332,0.248,-0.193,0.2,-0.621,0.265,-0.16,0.187,71.43
10,0.179,0.664,-0.107,0.196,0.305,0.248,0.046,0.197,-0.457,0.259,-0.083,0.19,68.928
11,0.574,0.67,-0.232,0.193,0.047,0.249,-0.013,0.196,-0.08,0.27,-0.213,0.187,70.594
12,-3.068,0.677,0.587,0.191,0.748,0.245,0.746,0.202,0.62,0.261,0.692,0.189,131.453
13,0.613,0.676,-0.235,0.192,-0.297,0.256,-0.368,0.197,0.473,0.258,-0.217,0.191,83.131
14,1.432,0.695,-0.427,0.194,-0.35,0.253,-0.582,0.202,-0.324,0.269,-0.425,0.195,53.623
15,-2.002,0.713,0.846,0.205,0.598,0.249,0.679,0.205,0.33,0.271,0.736,0.198,161.627
16,-0.55,0.657,0.299,0.193,0.306,0.245,0.145,0.193,0.347,0.257,0.33,0.182,47.86
17,-2.012,0.652,0.457,0.184,0.285,0.24,0.533,0.188,0.57,0.247,0.509,0.188,98.08
18,2.982,0.696,-0.646,0.203,-1.021,0.262,-0.707,0.204,-0.167,0.257,-0.665,0.194,90.253
19,1.149,0.698,-0.475,0.191,-0.123,0.255,-0.577,0.197,-0.031,0.26,-0.466,0.198,50.029
20,-0.838,0.697,0.464,0.198,0.692,0.259,0.374,0.209,0.039,0.268,0.345,0.193,57.74
21,1.201,0.651,-0.321,0.187,-0.625,0.244,-0.189,0.192,-0.039,0.255,-0.367,0.185,93.144
22,-0.261,0.677,0.025,0.196,0.466,0.255,0.03,0.196,0.004,0.266,0.065,0.19,93.231
23,1.091,0.717,-0.298,0.201,-0.685,0.258,-0.275,0.206,0.063,0.269,-0.231,0.202,85.311
24,1.897,0.687,-0.325,0.197,-0.213,0.261,-0.407,0.202,-0.808,0.257,-0.288,0.193,67.528
25,-1.857,0.639,0.362,0.178,0.4,0.246,0.401,0.195,0.13,0.249,0.346,0.177,104.708
26,-1.913,0.671,0.464,0.191,0.263,0.251,0.479,0.203,0.298,0.256,0.486,0.184,65.155
27,2.675,0.675,-0.701,0.196,-1.005,0.258,-0.896,0.204,-0.849,0.256,-0.71,0.188,55.152
28,-0.894,0.665,0.159,0.194,0.094,0.255,0.103,0.193,-0.305,0.257,0.182,0.182,90.983
29,-2.649,0.672,0.59,0.194,0.554,0.247,0.791,0.196,0.495,0.249,0.654,0.186,58.616
30,0.759,0.638,-0.101,0.185,-0.015,0.245,0.029,0.187,-0.147,0.245,-0.113,0.18,73.829
31,0.369,0.682,-0.152,0.19,-0.139,0.249,-0.232,0.197,-0.052,0.265,-0.143,0.192,55.45
32,1.556,0.606,-0.351,0.178,-0.455,0.242,-0.332,0.185,-0.499,0.236,-0.349,0.174,64.593
33,-1.706,0.718,0.412,0.202,0.173,0.264,0.364,0.213,0.49,0.275,0.367,0.203,61.316
34,0.991,0.644,-0.188,0.19,-0.201,0.251,-0.344,0.198,-0.11,0.257,-0.218,0.181,54.107
35,-2.071,0.667,0.397,0.191,0.775,0.236,0.494,0.195,0.294,0.266,0.455,0.189,58.902
36,0.088,0.675,-0.129,0.187,-0.078,0.239,-0.184,0.203,-0.154,0.261,-0.082,0.195,52.791
37,-0.051,0.662,0.024,0.195,-0.32,0.243,-0.018,0.185,0.005,0.234,-0.034,0.187,83.849
38,-0.793,0.711,0.06,0.201,0.312,0.257,0.122,0.211,-0.227,0.27,0.097,0.201,62.02
39,-0.739,0.663,0.282,0.192,0.101,0.242,0.192,0.192,0.301,0.262,0.28,0.185,75.597
40,-2.015,0.693,0.565,0.19,0.647,0.249,0.696,0.202,0.862,0.261,0.541,0.201,74.479
41,-2.016,0.655,0.456,0.186,0.704,0.251,0.378,0.196,0.516,0.242,0.412,0.189,69.4
42,-0.684,0.705,0.105,0.2,-0.04,0.258,-0.035,0.208,-0.02,0.259,0.127,0.2,85.154
43,1.801,0.658,-0.633,0.188,-0.866,0.25,-0.584,0.189,-0.956,0.264,-0.645,0.184,115.877
44,0.965,0.674,-0.082,0.193,-0.378,0.254,-0.059,0.199,0.198,0.268,-0.128,0.191,117.217
45,1.039,0.666,-0.166,0.195,-0.15,0.258,-0.174,0.195,-0.01,0.258,-0.181,0.189,58.524
46,-0.496,0.643,0.13,0.186,0.07,0.235,0.341,0.195,0.343,0.254,0.113,0.182,77.338
47,0.488,0.675,-0.144,0.196,-0.475,0.244,-0.1,0.2,0.306,0.254,-0.174,0.192,137.192
48,-0.466,0.691,-0.011,0.196,0.181,0.244,0.165,0.207,-0.077,0.276,0.02,0.193,70.144
49,-0.658,0.666,0.087,0.19,-0.212,0.244,0.19,0.197,0.399,0.258,0.135,0.186,104.543
50,-0.759,0.702,0.099,0.199,0.157,0.253,0.256,0.204,-0.312,0.268,0.072,0.2,66.287
51,-2.52,0.653,0.56,0.193,0.584,0.255,0.578,0.189,0.207,0.255,0.553,0.18,62.098
52,0.624,0.665,-0.241,0.184,-0.284,0.236,-0.128,0.195,-0.15,0.261,-0.24,0.186,64.257
53,-2.285,0.677,0.693,0.192,0.679,0.252,0.636,0.203,0.666,0.257,0.678,0.19,72.019
54,0.303,0.708,-0.085,0.2,-0.109,0.269,-0.254,0.209,-0.089,0.265,-0.117,0.199,62.018
55,-0.165,0.642,0.053,0.184,-0.096,0.247,-0.077,0.191,-0.102,0.242,0.077,0.184,57.135
56,-0.113,0.681,0.063,0.191,0.33,0.242,0.063,0.201,0.329,0.262,0.027,0.194,69.868
57,1.051,0.674,-0.313,0.193,-0.429,0.246,-0.467,0.2,-0.106,0.259,-0.302,0.188,56.565
58,-0.73,0.642,0.074,0.185,-0.007,0.23,0.143,0.192,-0.177,0.257,0.073,0.184,78.519
59,-0.044,0.679,-0.04,0.19,0.185,0.252,-0.139,0.201,0.068,0.269,0.014,0.189,64.878
60,0.582,0.676,-0.262,0.194,-0.478,0.251,0.011,0.205,-0.236,0.257,-0.191,0.184,78.009
61,2.406,0.686,-0.637,0.196,-0.547,0.256,-0.42,0.194,-0.41,0.267,-0.612,0.19,112.778
62,2.072,0.674,-0.548,0.191,-0.712,0.25,-0.53,0.202,-0.391,0.262,-0.481,0.189,52.572
63,-0.198,0.661,0.056,0.191,0.03,0.251,0.096,0.199,-0.241,0.261,0.046,0.184,107.503
64,0.805,0.714,-0.219,0.202,-0.394,0.248,-0.244,0.207,-0.45,0.263,-0.279,0.203,118.298
65,-0.734,0.643,0.084,0.183,0.19,0.243,0.076,0.189,0.079,0.239,0.077,0.177,80.899
66,1.561,0.684,-0.449,0.196,-0.333,0.254,-0.33,0.203,-0.496,0.266,-0.464,0.191,72.52
67,-1.805,0.708,0.578,0.199,0.512,0.247,0.623,0.209,1.01,0.271,0.493,0.2,91.796
68,-0.149,0.649,0.125,0.186,0.034,0.252,0.117,0.187,0.533,0.255,0.107,0.184,74.25
69,1.221,0.696,-0.092,0.195,-0.341,0.252,-0.236,0.208,-0.376,0.265,-0.161,0.193,79.072
