map_name,sim_num,gMpl,gMpl_std,aplusb,aplusb_std
BK18_B95,0,0.308,0.44,-0.18,0.172
BK18_B95,1,-0.585,0.5,0.161,0.19
BK18_B95,2,0.061,0.453,-0.011,0.175
BK18_K95,0,2.209,1.764,-0.337,0.505
BK18_K95,1,-3.182,1.32,0.917,0.397
BK18_K95,2,-0.745,2.239,0.256,0.632
BK18_150,0,-0.318,0.653,0.093,0.227
BK18_150,1,-1.111,0.673,0.41,0.234
BK18_150,2,1.183,0.683,-0.361,0.241
BK18_220,0,-1.22,1.295,0.304,0.467
BK18_220,1,-0.989,1.176,0.411,0.435
BK18_220,2,-2.167,1.188,0.547,0.444
BK18_B95ext,0,-0.43,0.458,0.136,0.167
BK18_B95ext,1,-0.871,0.445,0.266,0.161
BK18_B95ext,2,0.097,0.408,-0.055,0.15
